a	det. 一
madness	n. 疯狂，疯病
madrigal	n. 无伴奏合唱
maelstrom	n. 大漩涡，极度混乱
maestro	n. 名师，音乐大师
magazine	n. 杂志，期刊，弹药库
magenta	n. 品红，品红色\nadj. 品红色的
maggot	n. 怪念头，蛆
magic	n. 魔法，魔术，魅力，魔力\nadj. 巫术的，有魔力的
magician	n. 魔术师，巫师
magistrate	n. 地方法官
magnate	n. 要人
magnesia	n. 氧化镁
magnesium	n. 镁
magnet	n. 磁性，磁铁，磁体
magnetic	adj. 磁性的，磁的，磁化的
magnetism	n. 磁性，磁力，吸引力，磁学
magnetize	v. 吸引，磁化
magneto	n. 永磁发电机
magnificent	adj. 壮丽的，宏伟的
magnify	v. 放大，扩大，加强
magnitude	n. 宏大，重要(性)，巨大，量
magpie	n. 鹊
magus	n. 巫术师，星术学家
mahogany	n. 赤褐色，红木\nadj. 红木做的
maid	n. 女仆，侍女，处女，少女
maiden	n. 少女，处女\nadj. 未婚的，少女的，首次的
mail	n. 邮件，邮政\nv. 邮寄，寄出
mailbag	n. 邮袋，邮递袋
mailbox	n. 信箱
maim	n. 伤残，严重缺陷\nv. 使成残废，使有缺陷
main	n. 体力，叫数\nadj. 主要的，辽阔的，完全的
mainland	n. 大陆，本土
mainline	v. 注入，入迷\nadj. 传统的，主流的
mainly	adv. 主要地，大部分
mainspring	n. 主发条，主要动力
mainstay	n. 主桅支索，主要依靠
mainstream	n. 主流
maintain	v. 维持，保养，坚持，赡养
maintenance	n. 保养，维修
maize	n. 玉米，玉米色，玉蜀黍
majesty	n. 陛下，雄伟，庄严
major	n. 成年人，重要人物\nv. 主修\nadj. 主要的，多数的，较大的，较重要的
majority	n. 多数，过半数，多数党
make	n. 种类，牌子，体质\nv. 做，制造，构成
make-shift	adj. 临时的n.权宜之计
make-up|makeup	n. 气质，化妆品
maker	n. 制造者，制造商，出票人，上帝
makeshift	n. 权宜之计\nadj. 权宜的
makeweight	n. 无关紧要的人
malady	n. 病
malaise	n. 马来西亚
malaria	n. 疟疾
malaysia	n. 马来西亚
malcontent	n. 不满者，反叛者\nadj. 不满的，反叛的
male	n. 男子，雄性动物\nadj. 男性的，雄的，男的
malefactor	n. 罪犯
malevolent	adj. 有害的
malformed	adj. 畸形的
malice	n. 恶意，恶感，蓄意害人
malicious	adj. 恶意的
malign	v. 诽谤\nadj. 恶性的，恶意的
malignant	n. 不满分子，不满者\nadj. 恶性的，恶意的
malinger	v. 诈病
mall	n. 分隔带，林荫路
malleable	adj. 可变的，易适应的
mallet	n. 大头锤，木槌
malodorous	adj. 难闻的
malt	n. 麦芽\nv. 成为麦芽
maltreat	v. 误用，虐待
mama	n. 老婆，妈妈
mamma	n. 乳房
mammal	n. 哺乳动物
mammon	n. 贪欲，物质财富
mammoth	n. 猛犸，庞然大物\nadj. 巨大的
man	n. 人，男人，人类，男子
manacle	n. 手铐，束缚\nv. 给...上手铐，束缚
manage	v. 管理，处理，设法，控制
manageable	adj. 可管理的，可控制的
management	n. 管理(人员)，经营，管理，管理人员
manager	n. 经理，当家人
managerial	adj. 管理的，经理的
mandate	n. 命令，授权\nv. 批准
mandated	adj. 委托管理的
mandolin	n. 曼陀林
maneuver|manoeuvre	n. 调动，演习\nv. 操纵，调动
manful	adj. 大丈夫气概的
manganese	n. 锰
mangle	n. 轧布机\nv. 乱砍，损毁
mango	n. 芒果，泡菜
mangrove	n. 海榄雌，红树
manhandle	v. 用人力搬动
manhole	n. 人孔
manhood	n. 男子气，成年，男子
mania	n. 躁狂，癖好
maniac	n. 入迷的人，躁狂者\nadj. 疯狂的，躁狂的
manicure	n. 修指甲，修指甲师\nv. 修，修剪
manifest	n. 船货清单，提货单\nv. 表明，表露，显示\nadj. 明白的，显然的
manifestation	n. 表明
manifesto	n. 宣言\nv. 发表宣言
manifold	n. 多支管，复印本\nv. 复写，复印\nadj. 多种多样的
manipulate	v. 操纵，操作，摆布
manipulation	n. 操纵，操作
mankind	n. 人类，男子
manlike	adj. 像男人的
manly	adj. 大丈夫的，适合于男人的\nadv. 具有男子气概地
mannequin	n. 女模特儿，人体模型
manner	n. 方法，方式，礼貌，态度
mannered	adj. 矫饰的，态度...的
mannerism	n. 风格主义，习性
mannish	adj. 像男人的
mansion	n. 宅第，官邸，大厦，领主宅第
manslaughter	n. 过失杀人；无行为能力者所犯的杀人罪行
mantis	n. 螳螂
mantle	n. 披风，衣钵\nv. 覆盖，掩藏
manual	n. 手册，键盘，教范\nadj. 用手的，手册的，手的
manufacture	n. 制造
manufactured	adj. 制成的
manufacturer	n. 制造商
manure	n. 肥料\nv. 耕种，施肥于
manuscript	n. 手稿，原稿，手写本\nadj. 手写的
many	n. 许多\npron. 许多人\nadj. 许多的
map	n. 地图，图\nv. 筹划，勘测，被安置
maple	n. 枫树，槭木，槭树
mar	n. 污点\nv. 毁坏
marathon	n. 持久的活动，马拉松\nadj. 有耐力的
marauder	n. 强盗
marble	n. 大理石，弹子\nv. 使具有大理石花纹\nadj. 大理石的
march	n. 三月，3月 月，行军，边界\nv. 行进，行军，进展，前进
margarine	n. 麦淇淋
margin	n. 余地，边缘，边\nv. 加边于
marginal	adj. 边缘的，边际的
marijuana	n. 大麻
marine	n. 海景画，所有船舶\nadj. 海的，海生的，海军的
mariner	n. 海员，水手，船员
marital	adj. 夫妻的，婚姻的
maritime	adj. 海上的，海事的
mark	n. 痕迹，符号，标记，马可福音，马可，短线\nv. 标明，评分
marked	adj. 有标记的，标明的，明显的
marker	n. 得分，划线装置
market	n. 市场，销路，集市\nv. 销售，进行交易
marketable	adj. 有销路的，可出售的，买卖的
marketing	n. 市场学，营销学
marketplace	n. 市场，集市
marking	n. 唛头，标记
marksman	n. 二等射手，射手
marmalade	n. 橘子酱
marquee	n. 大帐篷，挑出遮篷
marquis	n. 侯爵，世袭贵族
marriage	n. 婚姻，婚礼，结婚，结婚仪式
married	adj. 已婚的
marrow	n. 精华，髓
marry	v. 娶，嫁，为...主婚，结婚\nbe married to和...结婚
mars	n. 火星
marsh	n. 沼泽
marshal	n. 元帅，司仪\nv. 排列，引领
mart	n. 集市，买卖\nv. 经营
marten	n. 貂，貂毛皮
martial	adj. 好战的，军事的
martyr	n. 烈士，殉道者，殉教者\nv. 处死，折磨
martyrdom	n. 殉难，折磨
marvel	n. 奇迹，惊异\nv. 惊奇，感到惊讶
marvellous|marvelous	adj. 奇异的，绝妙的，奇迹般的
marxism	n. 马克思主义
marxist	n. 马克思主义者
mascot	n. 吉祥物
masculine	n. 男性，阳性\nadj. 男性的，阳性的
mash	n. 糊状物，迷恋\nv. 压碎，挑逗
mask	n. 假面具，面具，罩\nv. 掩饰，伪装
mason	n. 石匠\nv. 在...上砌砖石
masonry	n. 石工，石工技艺
masquerade	n. 化装服饰，伪装\nv. 假冒
mass	n. 堆，大量，群众，弥撒，弥撒曲，团\nv. 集中，聚集
mass media	n. 传媒工具，新闻界
massacre	n. 大屠杀，破坏\nv. 屠杀，残杀，彻底击败，破坏
massage	n. 按摩，推拿，性交\nv. 奉承，修改
masseur	n. 男按摩师
masseuse	n. 女按摩师
massive	adj. 粗大的，厚重的，粗而重的
mast	n. 桅杆，船桅，杆\nv. 在...上装桅杆
master	n. 主人，大师，硕士，艺术家\nv. 精通，统治
masterful	adj. 熟练的
masterly	adj. 熟练的\nadv. 熟练地
masterpiece	n. 杰作
mastery	n. 权力，熟练
masticate	v. 咀嚼，成浆状
masturbate	v. 行手淫
mat	n. 垫子，席子，衬垫，地席\nv. 使缠结
match	n. 火柴，对手，比赛，火绳\nv. 结婚，相称
matchless	adj. 无敌的
matchmaker	n. 媒人
matchwood	n. 碎片
mate	n. 伙伴，偶，配偶\nv. 配对，使交配，交配
material	n. 材料，资料，原料，布\nadj. 身体上的，物质的
materialism	n. 唯物主义
materialize	v. 使具体化，物质化
maternal	adj. 母亲的，母系的
maternity	n. 产科医院，怀孕
math	n. 割，马思
mathematical	adj. 数学的
mathematician	n. 数字家
mathematics	n. 数学
maths	n. (缩)数学，数学
matinee	n. 日场演出
matriarch	n. 女家长
matricide	n. 杀母，杀母者
matrimony	n. 婚礼，觅对
matrix	n. 基质，母体
matron	n. 胖妇，妻子
matted	adj. 铺席的
matter	n. 事情，物资，毛病，实体\nv. 化脓，要紧
mattock	n. 鹤嘴锄
mattress	n. 床垫，柴排，气垫
maturate	v. 到期，化脓
mature	v. 使成熟，到期\nadj. 成熟的，到期的，慎重的，熟的
maturity	n. 成熟，到期
maul	n. 吵架，狼牙棍\nv. 殴打，抨击
mausoleum	n. 陵墓
mauve	n. 淡紫色，木槿紫\nadj. 淡紫色的
maw	n. 胃，咽喉
mawkish	adj. 多愁善感的
maxim	n. 普遍真理，谚语
maximize	v. 增加到最大程度，极为重视
maximum	n. 最大量，极限，顶峰时期，最大限度\nadj. 极大的，最高的
may	n. 五月\nv. 可以，也许，祝愿\naux. 会，可能
maybe	n. 可能性\nadv. 或许，大概
mayday	n. 五一国际劳动节
mayor	n. 市长
mayoralty	n. 市长职位
mayoress	n. 女市长，市长夫人
maze	n. 错综，混乱，迷宫\nv. 使困惑，使迷乱
me	pron. 我(宾格)，我
mead	n. 草地，汽水
meadow	n. 牧场，草地，高处草地
meagre	adj. 不丰富的，瘦的
meal	n. 膳食，一顿饭，挤奶，进餐
mealy	adj. 粗粉的，粗粉状的
mean	n. 平均，中间\nv. 打算，意指，意味着\nadj. 卑鄙的，低劣的
meander	n. 漫步\nv. 漫步，蜿蜒
meaning	n. 意义，意图
meaningful	adj. 有意图的，有意义的
means	n. 手段，财力
meantime	n. 间隔时间\nadv. 同时，在这期间，在间隔时间里
meanwhile	n. 在这期间，同时
measles	n. 风疹，麻疹
measly	adj. 麻疹的，无价值的
measurable	adj. 不久的，可量的
measure	n. 尺寸，量具，措施，量度\nv. 打量，量
measurement	n. 测量(结果)
meat	n. 肉，食物
mechanic	n. 技工，工匠，机工
mechanical	adj. 机械的、机动的，机械制的，有机器的
mechanically	adv. 机械地
mechanics	n. 力学，机械学，结构
mechanism	n. 机制，机械装置，机构
mechanize	v. 使机械化，用机械做
medal	n. 奖章，勋章，纪念章，奖牌，圣牌
medallist	n. 奖牌设计者
meddle	v. 干预
media	n. 中脉，浊塞音\nmedium的复数
mediaeval	adj. 中世纪的
mediate	v. 转交，调解\nadj. 间接的，居间的
medical	adj. 医学的，医务的，内科的，药的
medicament	n. 药物
medicated	adj. 含药物的
medicinal	n. 药物\nadj. 药的，有益的
medicine	n. 药，医学
medieval	adj. 中世纪的，老式的
mediocre	adj. 不够好的，中等的
mediocrity	n. 平庸，庸人
meditate	v. 考虑，沉思，打算，思考
meditation	n. 考虑，沉思冥想
mediterranean	n. 地中海
medium	n. 中间，媒介，中庸，媒质，手段，巫师\nadj. 中间的
medley	n. 杂录\nadj. 混合的
meek	adj. 温顺的，和缓的
meet	n. 集合，集会\nv. 遇到，会见，迎接，接，遇见
meeting	n. 会议，集会
megaphone	n. 喇叭筒\nv. 用喇叭筒讲话
melancholy	n. 忧思，忧郁\nadj. 忧郁(的)，忧郁的
mellow	v. 变熟，陈化\nadj. 陈的，熟的
melodious	adj. 旋律的
melodrama	n. 传奇剧，音乐戏剧
melody	n. 旋律，曲调，音乐性
melon	n. 瓜，甜瓜，深粉红色
melt	n. 融化，脾\nv. 熔化，融解，融化，溶解
member	n. 成员，会员，子句
membership	n. 会员资格，全体成员，会员身份，会员数
membrane	n. 薄膜，膜
memento	n. 回忆，纪念物
memo	n. 备忘录
memoir	n. 回忆录，传
memorable	adj. 值得纪念的
memorandum	n. 备忘录
memorial	n. 记录，纪念物\nadj. 纪念的，追悼的，记忆的
memorize|memorise	v. 记住，记忆，默记
memory	n. 记忆(力)，回忆，记忆
menace	n. 威胁，恐吓，讨厌的人\nv. 威胁
menagerie	n. 动物园，野生动物
mend	n. 改进，修理\nv. 修理，修补，好转，改善，纠正
mendacious	adj. 虚假的
menial	n. 下等家仆\nadj. 不体面的，仆人的
menopause	n. 绝经
mental	adj. 心理的，精神的，颏的
mentality	n. 心理，意识，心态，智力
mention	n. 提及，讲到，传令嘉奖\nv. 传令嘉奖，提到
mentor	n. 门特
menu	n. 菜单，饭菜
mercantile	n. 商品\nadj. 商人的
mercenary	n. 以金钱为目的的人\nadj. 以金钱为目的的
merchandise	n. 商品，货物
merchant	n. 商人，零售商\nadj. 商业的
merciful	adj. 仁慈的，宽大的，受欢迎的
merciless	adj. 冷酷无情的
mercurial	n. 汞制剂\nadj. 活泼的，雄辩的
mercury	n. 水星，汞，水银，信使，汞盐
mercy	n. 宽大，慈悲，怜悯，宽大处理
mere	adj. 仅仅的，起码的，纯粹的，只不过的
merely	adv. 仅仅，只，纯粹地
merge	v. 合并，结合
merger	n. 合并，吸收
meridian	n. 顶点，子午线\nadj. 顶点的，子午线的
meringue	n. 蛋白壳，调合蛋白
merino	n. 美利奴羊\nadj. 美利奴羊的
merit	n. 价值，功绩，长处，功德\nv. 应得，值得
mermaid	n. 美人鱼
merry	adj. 欢乐的，轻快的
mesh	n. 网孔，筛眼，网\nv. 使缠住，相啮合
mesmerism	n. 催眠，催眠力
mesmerize	v. 对...催眠，迷惑
mess	n. 肮脏，凌乱，凌乱状态\nv. 弄脏，把...弄脏，玩弄
message	n. 音讯，消息，启示，信息\nv. 通报
messenger	n. 通讯员，使者，送信人，先驱
messy	adj. 肮脏的，棘手的
metabolism	n. 变态，代谢
metal	n. 金属，金属制品
metallic	adj. 金属的，含金属的
metallurgy	n. 冶金学
meteor	n. 流星，陨星
meteoric	adj. 大气的，流星的
meteorite	n. 流星，陨星
meter	n. 量器，仪表，计，邮资机\nv. 用计计量，用表计量
method	n. 方法，条理
methodical	adj. 有条理的
methodology	n. 方法(论)
methylate	n. 甲基化产物\nv. 使甲基化
meticulous	adj. 小心翼翼的，过分注意细节的
meticulously	adv. 胆小地
metre	n. 米，公尺，节拍
metric	n. 度量，诗体\nadj. 公制的，米的
metrical	adj. 度量的，米的
metricize	v. 将...改为公制
metro	n. 大都市，地铁系统
metropolis	n. 大城市，中心
metropolitan	n. 大都市
mettle	n. 精神，耐力，勇气
mexican	adj. 墨西哥人(的)
mexico	n. 墨西哥
microbe	n. 微生物
microeconomics	n. 微观经济学
microfilm	n. 缩微胶卷
micrometer	n. 测微计
micron	n. 微米
microphone	n. 扩音器，话筒
microprocessor	n. 微处理机
microscope	n. 显微镜
microwave	n. 微波
mid	adj. 央元音的，中部的
midday	n. 正午，晌午
midden	n. 粪堆
middle	n. 当中，中部，中等货\nadj. 中部的，中等的
middleman	n. 中人，中间人，经纪人
middling	n. 中等的，第二流的
midge	n. 矮人，蠓
midget	n. 矮人，极小者\nadj. 极小的
midmost	adj. 正中的，最里面的\nadv. 在正中
midnight	n. 午夜，半夜十二点钟，漆黑
midst	n. 中间，中部\nprep. 在...之中
midsummer	n. 夏至，仲夏
midway	n. 娱乐场，中途\nadj. 中途的\nadv. 中途
midwinter	n. 冬至，仲冬
mien	n. 风度，面
might	n. 力，大量，力量\nv. 或许，可以\nmay的过去式
mighty	adj. 强有力的，巨大的，强大的\nadv. 很
migraine	n. 偏头痛
migrant	n. 候鸟，移居者\nadj. 迁移的，候鸟的
migrate	v. 迁移(海外)，移栖，迁徙，移居
migration	n. 迁移，移居海外，移动
migratory	adj. 流浪的，迁移的
mike	n. 休息，微克
milch	adj. 产奶的
mild	n. 淡味啤酒\nadj. 温和的，味淡的
mile	n. 英里
mileage	n. 里程，英里数
milestone	n. 里程碑
militant	n. 战斗分子\nadj. 好战的，交战中的
militarism	n. 军国主义，尚武精神
militarize	v. 使军事化
military	n. 军人，武装部队\nadj. 军事的，好斗的，军人的
militate	v. 服兵役，战斗
militia	n. 民兵(组织)，国民军，民兵组织
milk	n. 奶，乳夜，乳剂\nv. 挤奶，抽取，出奶
milkmaid	n. 挤奶女工
milkman	n. 送奶人，卖牛奶的人
milky	adj. 加奶的，乳白色的，乳的
mill	n. 磨坊，工厂，磨\nv. 滚乱，磨，碾碎
miller	n. 磨坊主
millibar	n. 毫巴
milligram	n. 毫克
milliliter|millilitre	n. 毫升
millimetre|millimeter	n. 毫米
milliner	n. 女帽设计者，妇女头饰
millinery	n. 女帽
million	n. 百万，许多
millionaire	n. 百万富翁
millionth	n. 第一百万
millstone	n. 磨难，磨石，重担
mime	n. 小丑，哑剧\nv. 模拟表演，演滑稽剧
mimic	n. 仿制品\nv. 描，模仿\nadj. 假的，模仿的
mimicry	n. 模仿，拟态
min	n. 分钟\nadj. 小的
mince	n. 切碎的食物\nv. 切碎，绞碎，细分
mincer	n. 粉碎机
mind	n. 头脑，智力\nv. 介意，记住，照料
mindful	adj. 记着的
mindless	adj. 不注意的，没头脑的
mine	n. 矿山，矿，矿藏\nv. 采，开矿\npron. 我的
minefield	n. 雷区，危险形势
miner	n. 矿工，采煤机
mineral	n. 矿物，无机物\nadj. 矿物的
mineralogy	n. 矿物，矿物学
mingle	v. 混合，混入，合成，使混合
mini	n. 迷你裙，微型汽车
miniature	n. 雏形，缩影，袖珍，彩饰，小画像\nadj. 小规模的，小种的
minibus	n. 中客车
minicomputer	n. 微型计算机
minimal	adj. 最小的
minimize	v. 使减到最小，达到最低值
minimum	n. 最少量，极小，最低极限\nadj. 最小的，最低的
minister	n. 教士，部长，大臣，公使\nv. 敷，供给
ministry	n. (政府)部，部，部长
mink	n. 水貂毛皮，鼬
minor	n. 未成年人，小企业\nv. 副修\nadj. 较小的，次要的，不严重的
minority	n. 少数，少数民族，少数党
mint	n. 造币厂，薄荷，制造所，尝试\nv. 制造，铸造\nadj. 簇新的，铸币厂的
minuet	n. 米奴哀舞小步舞
minus	n. 不足，负量\nadj. 减的\nprep. 减去，减，没有
minute	n. 分钟，片刻，分\nadj. 快熟的，微小的
miracle	n. 奇迹，令人惊讶的事，奇事
miraculous	adj. 奇迹(般)的，奇迹般的，神奇的
mirage	n. 海市蜃楼，幻想
mire	n. 困境，烂泥\nv. 陷入泥坑
mirror	n. 镜子，镜\nv. 反映，反射
mirth	n. 欢乐，欢笑
misapply	v. 挪用，用错
misbehave	v. 表现卑怯，举止失礼
miscarriage	n. 未到目的地
miscarry	v. 未运到(目的地)，流产，失败
miscellany	n. 各家诗文，混合物
mischance	n. 厄运
mischief	n. 伤害，恶作剧，顽皮
misconduct	n. 不端行为，不法行为\nv. 使行为不端
miscreant	n. 恶棍，异教徒\nadj. 信异教的
misdate	v. 写错的日期
misdeal	n. 发错牌\nv. 发错，发错牌
misdeed	n. 不端行为
misdirect	v. 作错误指示
miser	n. 吝啬鬼，守财奴
miserable	n. 遭受苦难的人\nadj. 悲惨的，糟糕的，贫困的，痛苦的
misery	n. 痛苦，悲惨，苦难，疼痛
misfire	n. 不发火\nv. 不发火
misfortune	n. 不幸，不幸事故
misgiving	n. 疑虑，担心
misguide	v. 错误地引导
mishandle	v. 装卸不慎
mishap	n. 事故，不幸，不幸事故
misinform	v. 向...提供错误消息
misinterpret	v. 误解
misjudge	v. 判断错误
mislay	v. 抛弃，丢失
mislead	v. 引入岐途，把...引入歧途
misnomer	n. 写错姓名
misplace	v. 把...放在一时记不起的地方
misprint	n. 错排\nv. 印错
misquote	v. 错误引证语句
misread	v. 读错，解释错
misreport	n. 错误的报道\nv. 错误地报道
misrule	n. 混乱，治理不当\nv. 对...治理不当
miss	n. 小姐，失败，逃脱\nv. 未击中,错过，没找到，失败
missile	n. 导弹，发射物，投射物\nadj. 导弹的，可投射的
missing	adj. 丢失的，缺少的
mission	n. 使团，使命，天职，传教团，外交使团
missionary	n. 传教士，倡导者，志士\nadj. 传教的，传教士的
missive	n. 公函，信件
misspell	v. 拼写错
misspend	v. 滥用，虚度
misstate	v. 谎报，误述
mist	n. 薄雾，霭\nv. 使迷糊，起薄雾
mistake	n. 错误，误解\nv. 搞错，误解，误认
mistaken	adj. 搞错了的，误解的
mister	n. 先生(缩写为Mr.)，平民，先生
mistress	n. 女主人，情妇，主妇
mistrust	n. 不信任\nv. 对...不信任，怀疑
misty	adj. 雾蒙蒙的，有雾的，雾的
misunderstand	v. 误解，误会
misunderstanding	n. 误会，曲解
misuse	n. 错用，恶行\nv. 错用，虐待
mitigate	v. 减轻，使缓和
mitre	n. 主教冠，斜接面\nv. 给加冠，斜接
mitt	n. 连指手套，棒球手套
mitten	n. 连指手套，露指手套，拳击手套
mix	n. 混合，混合物\nv. 混合，配料，交往，拌成，和入
mixer	n. 混合器，调酒师，混合者
mixture	n. 混合物，混和，混合，混血儿
moan	n. 呻吟，悲叹，不满，凄切声\nv. 悲叹，呻吟
moat	n. 护城河，深沟\nv. 以护城河围绕
mob	n. 暴民，乌合之众，群氓\nv. 成群围住，成群袭击
mobile	n. 活动雕塑，活动物体\nadj. 机动的，流动的，动的
mobilize|mobilise	v. 动员，调动
mobster	n. 犯罪集团成员
mock	n. 嘲笑，嘲笑对象\nv. 嘲笑，愚弄，模仿\nadj. 假的，模拟的\nadv. 假装地
mockery	n. 嘲笑，嘲笑对象
mode	n. 方式，方法，文体
model	n. 模范，模型，模特儿，原型\nv. 使仿效，做模型
moderate	n. 稳健派\nv. 缓和，使和缓，主持\nadj. 适度的，适中的，中等的
moderately	adv. 适度地，适中地，不过分地
moderation	n. 缓和，适度
modern	n. 近代\nadj. 现代的，时髦的，近代的，现代化的
modernism	n. 现代词语，现代思想
modernization	n. 现代化
modernize	v. 使...现代化，使现代化，现代化
modest	adj. 谦虚的，质朴的，端庄的
modesty	n. 谦虚，适中
modicum	n. 少量
modification	n. 修改，缓和
modified	adj. 改良的，改进的
modify	v. 修改，减轻，修饰，缓和
modish	adj. 流行的
modulate	v. 调整，改变，调节，使转调
modulation	n. 调节，语调
module	n. 模量，模件，模数，组件
mohair	n. 马海毛，马海绒
moist	adj. 潮湿的，潮湿
moisten	v. 弄湿，变湿
moisture	n. 潮气，潮湿，水分
molar	n. 臼齿
molasses	n. 糖蜜
mold|mould	n. 模子，型，霉菌，框架，霉\nv. 塑造，发霉
mole	n. 污迹，痣
molecular	adj. 分子的
molecule	n. 分子，些微
molest	v. 调戏，妨碍
mollify	v. 缓和，使变软
mollusc	n. 软体动物
mom	n. 妈妈
moment	n. 时刻，瞬间，片刻，时机
momentary	adj. 片刻的，瞬间的
momentous	adj. 重要的，重大的
momentum	n. 冲力，动力
mommy	n. 妈妈
monarch	n. 君主，王室，王
monarchy	n. 个人统治，君主国
monastery	n. 隐修院\nadj. 修道院，寺院
monastic	n. 修士\nadj. 修士的，隐修院的
monday	n. 星期一
monetary	adj. 货币的，金融的，用货币的
money	n. 金钱，货币，财富，财产
mongrel	n. 杂种，杂种狗\nadj. 混杂的，杂种的
monitor	n. 班长,监视器，班长，告诫者\nv. 监视，监测，监控
monk	n. 和尚，修道士
monkey	n. 猴子，猴\nv. 嘲弄，模仿
monochrome	n. 单色，单色画\nadj. 单调的，单色的
monogamy	n. 一夫一妻制
monogram	n. 交织字母\nv. 把交织字母印于
monograph	n. 专著\nv. 写关于...的专题著作
monolith	n. 独块巨石
monolithic	adj. 单片的，整体式的
monologue	n. 独白，独白体诗
monophonic	adj. 单声道的
monoplane	n. 单翼机
monopolist	n. 垄断者
monopolize	v. 垄断，独占
monopoly	n. 垄断，独占，垄断权
monopsony	n. 买方独家垄断的市场结构
monorail	n. 单轨，单轨铁路
monostelic	adj. 单体中柱的
monotone	n. 单调，单音调\nadj. 单调的
monotonous	adj. 单调的，枯燥的
monotony	n. 单调，枯燥
monovalent	adj. 单价的，一价的
monoxide	n. 一氧化物
monsieur	n. 大亲王，先生
monsoon	n. 季风
monster	n. 怪兽，怪物，魔鬼\nadj. 巨大的
monstrous	adj. 可怕的，极恶的，丑恶的，怪异的
montage	n. 混合画，蒙太奇\nv. 用蒙太奇手法处理
month	n. 月份，月
monthly	n. 月刊，月经\nadj. 每月的，月经的\nadv. 每月
monument	n. 纪念章，不朽之物，纪念碑，纪念文
monumental	adj. 纪念碑式的，非常的，纪念碑的
mood	n. 心情，心境，情绪，式
moody	adj. 郁郁寡欢的
moon	n. 月亮，月光，月球\nv. 虚度，懒散度日
moonlight	n. 月光，夜间潜逃\nv. 夜间活动，夜间潜逃
moonlighting	n. 业余干活
moonlit	adj. 月光照耀下的
moonscape	n. 月面风景
moonshot	n. 月球飞船
moonstone	n. 月长石
moor	n. 沼泽，停泊\nv. 系泊，把船栓定，固定，停泊
moose	n. 麋
moot	n. 民会\nv. 实习审判，讨论\nadj. 非实际的
mop	n. 拖把，墩布，拭子\nv. 使用拖把，作怪相
mope	n. 闷闷不乐，忧郁的人\nv. 使忧郁，忧郁
moppet	n. 宝贝，小孩
moral	n. 教训，典型\nadj. 道德的，有道德的
morale	n. 士气，斗志，道德
moralist	n. 道德家，德育家
moralistic	adj. 道德家的，说教的
morality	n. 道德品质，道德，德行
moralize	v. 使有德行，论道德
morass	n. 困境，沼泽
moratorium	n. 延期偿付，暂停
morbid	adj. 病的，病态的
mordant	n. 腐蚀剂，媒染剂\nv. 媒染\nadj. 腐蚀的，尖锐的
mordent	n. 波音
more	adj. 更多的,更，更大的，另外的\nadv. 更，再
moreover	adv. 此外，而且
mores	n. 风俗，民德
moribund	adj. 不进展的，垂死的
morning	n. 早晨，上午，初期，破晓
morose	adj. 阴郁的
morphine	n. 吗啡
morrow	n. 晨间，翌日
morsel	n. 小吃，小片\nv. 把...分成小片
mortal	n. 人，生物\nadj. 致命的，人的，死的\nadv. 极
mortality	n. 必死性，死亡数
mortar	n. 臼，砂浆\nv. 用砂浆砌合
mortgage	n. 抵押，抵押借款\nv. 抵押，以...作担保
mortgagee	n. 受押人
mortgager	n. 抵押人
mortician	n. 承办丧葬者
mortify	v. 抑制，禁欲，使受辱
mortise	n. 长眼，榫眼\nv. 用榫接合
mortuary	n. 太平间，遗产布施\nadj. 悲哀的，丧葬的
mosaic	n. 马赛克，镶嵌\nv. 以马赛克装饰\nadj. 马赛克的，镶嵌性的
mosey	v. 信步，溜达
moslem	n. 穆斯林\nadj. 穆斯林，穆斯林的
mosque	n. 清真寺
mosquito	n. 蚊子，蚊
moss	n. 苔藓，地衣，苔藓丛，藓沼\nv. 在...上长满苔藓
most	adj. 最多的\nadv. 非常，极其，最
mostly	adv. 主要地，大多，一般地
mot	n. 号角声，警句
mote	n. 尘埃，疵点
motel	n. 汽车旅馆
moth	n. 蛾，蛾害
mothball	n. 封存，卫生球
mother	n. 母亲，继母，母\nv. 生，产生醋母\nadj. 出生地的
mother-in-law	n. 岳母，婆婆
motherhood	n. 母亲们，母性
motherly	adj. 母亲的，母亲似的\nadv. 作为母亲
motion	n. 运动，议案，动，提议\nv. 摆动，做手势
motionless	adj. 不动的
motivate	v. 促进，激发，使有动机
motivation	n. 动机
motive	n. 动机
motley	n. 丑角，杂色呢\nadj. 混杂的，杂色的
motor	n. 发动机，内燃机\nv. 发动，驾驶汽车
motorbike	n. 摩托车
motorboat	n. 摩托艇
motorcade	n. 一长列汽车
motorcar	n. 汽车，电动车
motorcycle	n. 摩托车\nv. 骑摩托车
motorist	n. 摩托车手，开汽车的人
motorize	v. 使摩托化
motorman	n. 电车司机
motormouth	n. 说话快且健谈
motorway	n. 汽车道，高速公路
motto	n. 座右铭，甜格言，警句
moulder	n. 电铸板，形成者\nv. 衰退，碎裂
mouldy|moldy	adj. 陈腐的，发霉的
moult	n. 蜕遗，脱毛\nv. 去除，脱毛
mound	n. 坟堆，高地\nv. 把...拢成堆，成堆
mount	n. 山，岳，登\nv. 登上，登
mountain	n. 山，山脉
mountainous	adj. 多山的，山一般的
mountebank	n. 江湖骗子\nv. 行骗，走江湖
mourn	v. 悲悼，哀痛，低声哀鸣，感到悲痛
mourner	n. 哀痛者
mournful	adj. 悲悼的，哀痛的
mourning	n. 哀痛
mouse	n. 老鼠，姑娘，鼠
